Year,Scenario,ImportCost_EURperMWh,ImportCost_EURperKgH2,Country,EuropeanOffshoreSupply_TWh,GrossExport_TWh,GrossImport_TWh,NetExport_TWh,SupplierCarbonContribution_Mt
2030,Outside option 33 EUR/MWh,33,1.099989,FR,0,0,30.92,-30.92,0
2030,Outside option 33 EUR/MWh,33,1.099989,DE,0,0,60.97,-60.97,0
2030,Outside option 33 EUR/MWh,33,1.099989,IE,0,0,1.36,-1.36,0
2030,Outside option 33 EUR/MWh,33,1.099989,NL,0,0,25.03,-25.03,0
2030,Outside option 33 EUR/MWh,33,1.099989,NO,0,0,5.23,-5.23,0
2030,Outside option 33 EUR/MWh,33,1.099989,PT,0,0,6.11,-6.11,0
2030,Outside option 33 EUR/MWh,33,1.099989,ES,0,0,27.65,-27.65,0
2030,Outside option 33 EUR/MWh,33,1.099989,SE,0,0,7.86,-7.86,0
2030,Outside option 33 EUR/MWh,33,1.099989,GB,0,0,24.82,-24.82,0
2030,Outside option 33 EUR/MWh,33,1.099989,ITN,210.39,210.39,0,210.39,43.0138238363171
2040,Outside option 33 EUR/MWh,33,1.099989,BE,0,0,49.94,-49.94,0
2040,Outside option 33 EUR/MWh,33,1.099989,DK,0,0,7.35,-7.35,0
2040,Outside option 33 EUR/MWh,33,1.099989,FR,0,0,87.09,-87.09,0
2040,Outside option 33 EUR/MWh,33,1.099989,DE,0,0,182.55,-182.55,0
2040,Outside option 33 EUR/MWh,33,1.099989,IE,0,0,3.89,-3.89,0
2040,Outside option 33 EUR/MWh,33,1.099989,NL,0,0,70.08,-70.08,0
2040,Outside option 33 EUR/MWh,33,1.099989,NO,0,0,13.21,-13.21,0
2040,Outside option 33 EUR/MWh,33,1.099989,PT,0,0,17.32,-17.32,0
2040,Outside option 33 EUR/MWh,33,1.099989,ES,0,0,79.74,-79.74,0
2040,Outside option 33 EUR/MWh,33,1.099989,SE,0,0,20.65,-20.65,0
2040,Outside option 33 EUR/MWh,33,1.099989,GB,0,0,73.08,-73.08,0
2040,Outside option 33 EUR/MWh,33,1.099989,ITN,604.9,604.9,0,604.9,128.622298925831
2050,Outside option 33 EUR/MWh,33,1.099989,BE,0,0,63.31,-63.31,0
2050,Outside option 33 EUR/MWh,33,1.099989,DK,0,0,10.18,-10.18,0
2050,Outside option 33 EUR/MWh,33,1.099989,FR,0,0,116.28,-116.28,0
2050,Outside option 33 EUR/MWh,33,1.099989,DE,0,0,245.11,-245.11,0
2050,Outside option 33 EUR/MWh,33,1.099989,IE,0,0,5.33,-5.33,0
2050,Outside option 33 EUR/MWh,33,1.099989,NL,0,0,102.42,-102.42,0
2050,Outside option 33 EUR/MWh,33,1.099989,NO,0,0,16.91,-16.91,0
2050,Outside option 33 EUR/MWh,33,1.099989,PT,0,0,23.93,-23.93,0
2050,Outside option 33 EUR/MWh,33,1.099989,ES,0,0,107.58,-107.58,0
2050,Outside option 33 EUR/MWh,33,1.099989,SE,0,0,26.46,-26.46,0
2050,Outside option 33 EUR/MWh,33,1.099989,GB,0,0,100.88,-100.88,0
2050,Outside option 33 EUR/MWh,33,1.099989,ITN,818.39,818.39,0,818.39,174.327287109974
2030,Outside option 34 EUR/MWh,34,1.133322,BE,0,0,17.86,-17.86,0
2030,Outside option 34 EUR/MWh,34,1.133322,DK,0,0,2.58,-2.58,0
2030,Outside option 34 EUR/MWh,34,1.133322,FR,0,0,30.92,-30.92,0
2030,Outside option 34 EUR/MWh,34,1.133322,DE,0,0,60.97,-60.97,0
2030,Outside option 34 EUR/MWh,34,1.133322,IE,0,0,1.36,-1.36,0
2030,Outside option 34 EUR/MWh,34,1.133322,NL,0,0,25.03,-25.03,0
2030,Outside option 34 EUR/MWh,34,1.133322,NO,0,0,5.23,-5.23,0
2030,Outside option 34 EUR/MWh,34,1.133322,PT,0,0,6.11,-6.11,0
2030,Outside option 34 EUR/MWh,34,1.133322,ES,0,0,27.65,-27.65,0
2030,Outside option 34 EUR/MWh,34,1.133322,SE,0,0,7.86,-7.86,0
2030,Outside option 34 EUR/MWh,34,1.133322,GB,0,0,24.82,-24.82,0
2030,Outside option 34 EUR/MWh,34,1.133322,ITN,210.39,210.39,0,210.39,43.0138238363171
2040,Outside option 34 EUR/MWh,34,1.133322,BE,0,0,49.94,-49.94,0
2040,Outside option 34 EUR/MWh,34,1.133322,DK,0,0,7.35,-7.35,0
2040,Outside option 34 EUR/MWh,34,1.133322,FR,0,0,87.09,-87.09,0
2040,Outside option 34 EUR/MWh,34,1.133322,DE,0,0,182.55,-182.55,0
2040,Outside option 34 EUR/MWh,34,1.133322,IE,0,0,3.89,-3.89,0
2040,Outside option 34 EUR/MWh,34,1.133322,NL,0,0,70.08,-70.08,0
2040,Outside option 34 EUR/MWh,34,1.133322,NO,0,0,13.21,-13.21,0
2040,Outside option 34 EUR/MWh,34,1.133322,PT,0,0,17.32,-17.32,0
2040,Outside option 34 EUR/MWh,34,1.133322,ES,0,0,79.74,-79.74,0
2040,Outside option 34 EUR/MWh,34,1.133322,SE,0,0,20.65,-20.65,0
2040,Outside option 34 EUR/MWh,34,1.133322,GB,0,0,73.08,-73.08,0
2040,Outside option 34 EUR/MWh,34,1.133322,ITN,604.9,604.9,0,604.9,128.622298925831
2050,Outside option 34 EUR/MWh,34,1.133322,BE,0,0,63.31,-63.31,0
2050,Outside option 34 EUR/MWh,34,1.133322,DK,0,0,10.18,-10.18,0
2050,Outside option 34 EUR/MWh,34,1.133322,FR,0,0,116.28,-116.28,0
2050,Outside option 34 EUR/MWh,34,1.133322,DE,0,0,245.11,-245.11,0
2050,Outside option 34 EUR/MWh,34,1.133322,IE,0,0,5.33,-5.33,0
2050,Outside option 34 EUR/MWh,34,1.133322,NL,0,0,102.42,-102.42,0
2050,Outside option 34 EUR/MWh,34,1.133322,NO,0,0,16.91,-16.91,0
2050,Outside option 34 EUR/MWh,34,1.133322,PT,0,0,23.93,-23.93,0
2050,Outside option 34 EUR/MWh,34,1.133322,ES,0,0,107.58,-107.58,0
2050,Outside option 34 EUR/MWh,34,1.133322,SE,0,0,26.46,-26.46,0
2050,Outside option 34 EUR/MWh,34,1.133322,GB,0,0,100.88,-100.88,0
2050,Outside option 34 EUR/MWh,34,1.133322,ITN,818.39,818.39,0,818.39,174.327287109974
2030,Outside option 35 EUR/MWh,35,1.166655,BE,0,0,17.86,-17.86,0
2030,Outside option 35 EUR/MWh,35,1.166655,DK,0,0,2.58,-2.58,0
2030,Outside option 35 EUR/MWh,35,1.166655,FR,0,0,30.92,-30.92,0
2030,Outside option 35 EUR/MWh,35,1.166655,DE,0,0,60.97,-60.97,0
2030,Outside option 35 EUR/MWh,35,1.166655,IE,0,0,1.36,-1.36,0
2030,Outside option 35 EUR/MWh,35,1.166655,NL,0,0,25.03,-25.03,0
2030,Outside option 35 EUR/MWh,35,1.166655,NO,0,0,5.23,-5.23,0
2030,Outside option 35 EUR/MWh,35,1.166655,PT,0,0,6.11,-6.11,0
2030,Outside option 35 EUR/MWh,35,1.166655,ES,0,0,27.65,-27.65,0
2030,Outside option 35 EUR/MWh,35,1.166655,SE,0,0,7.86,-7.86,0
2030,Outside option 35 EUR/MWh,35,1.166655,GB,0,0,24.82,-24.82,0
2030,Outside option 35 EUR/MWh,35,1.166655,ITN,210.39,210.39,0,210.39,43.0138238363171
2040,Outside option 35 EUR/MWh,35,1.166655,BE,0,0,49.94,-49.94,0
2040,Outside option 35 EUR/MWh,35,1.166655,DK,0,0,7.35,-7.35,0
2040,Outside option 35 EUR/MWh,35,1.166655,FR,0,0,87.09,-87.09,0
2040,Outside option 35 EUR/MWh,35,1.166655,DE,0,0,182.55,-182.55,0
2040,Outside option 35 EUR/MWh,35,1.166655,IE,0,0,3.89,-3.89,0
2040,Outside option 35 EUR/MWh,35,1.166655,NL,0,0,70.08,-70.08,0
2040,Outside option 35 EUR/MWh,35,1.166655,NO,0,0,13.21,-13.21,0
2040,Outside option 35 EUR/MWh,35,1.166655,PT,0,0,17.32,-17.32,0
2040,Outside option 35 EUR/MWh,35,1.166655,ES,0,0,79.74,-79.74,0
2040,Outside option 35 EUR/MWh,35,1.166655,SE,0,0,20.65,-20.65,0
2040,Outside option 35 EUR/MWh,35,1.166655,GB,0,0,73.08,-73.08,0
2040,Outside option 35 EUR/MWh,35,1.166655,ITN,604.9,604.9,0,604.9,128.622298925831
2050,Outside option 35 EUR/MWh,35,1.166655,BE,0,0,63.31,-63.31,0
2050,Outside option 35 EUR/MWh,35,1.166655,DK,0,0,10.18,-10.18,0
2050,Outside option 35 EUR/MWh,35,1.166655,FR,0,0,116.28,-116.28,0
2050,Outside option 35 EUR/MWh,35,1.166655,DE,0,0,245.11,-245.11,0
2050,Outside option 35 EUR/MWh,35,1.166655,IE,0,0,5.33,-5.33,0
2050,Outside option 35 EUR/MWh,35,1.166655,NL,0,0,102.42,-102.42,0
2050,Outside option 35 EUR/MWh,35,1.166655,NO,0,0,16.91,-16.91,0
2050,Outside option 35 EUR/MWh,35,1.166655,PT,0,0,23.93,-23.93,0
2050,Outside option 35 EUR/MWh,35,1.166655,ES,0,0,107.58,-107.58,0
2050,Outside option 35 EUR/MWh,35,1.166655,SE,0,0,26.46,-26.46,0
2050,Outside option 35 EUR/MWh,35,1.166655,GB,0,0,100.88,-100.88,0
2050,Outside option 35 EUR/MWh,35,1.166655,ITN,818.39,818.39,0,818.39,174.327287109974
2030,Outside option 36 EUR/MWh,36,1.199988,BE,0,0,17.86,-17.86,0
2030,Outside option 36 EUR/MWh,36,1.199988,DK,0,0,2.58,-2.58,0
2030,Outside option 36 EUR/MWh,36,1.199988,FR,0,0,30.92,-30.92,0
2030,Outside option 36 EUR/MWh,36,1.199988,DE,0,0,60.97,-60.97,0
2030,Outside option 36 EUR/MWh,36,1.199988,IE,0,0,1.36,-1.36,0
2030,Outside option 36 EUR/MWh,36,1.199988,NL,0,0,25.03,-25.03,0
2030,Outside option 36 EUR/MWh,36,1.199988,NO,0,0,5.23,-5.23,0
2030,Outside option 36 EUR/MWh,36,1.199988,PT,0,0,6.11,-6.11,0
2030,Outside option 36 EUR/MWh,36,1.199988,ES,0,0,27.65,-27.65,0
2030,Outside option 36 EUR/MWh,36,1.199988,SE,0,0,7.86,-7.86,0
2030,Outside option 36 EUR/MWh,36,1.199988,GB,0,0,24.82,-24.82,0
2030,Outside option 36 EUR/MWh,36,1.199988,ITN,210.39,210.39,0,210.39,43.0138238363171
2040,Outside option 36 EUR/MWh,36,1.199988,BE,0,0,49.94,-49.94,0
2040,Outside option 36 EUR/MWh,36,1.199988,DK,0,0,7.35,-7.35,0
2040,Outside option 36 EUR/MWh,36,1.199988,FR,0,0,87.09,-87.09,0
2040,Outside option 36 EUR/MWh,36,1.199988,DE,0,0,182.55,-182.55,0
2040,Outside option 36 EUR/MWh,36,1.199988,IE,0,0,3.89,-3.89,0
2040,Outside option 36 EUR/MWh,36,1.199988,NL,0,0,70.08,-70.08,0
2040,Outside option 36 EUR/MWh,36,1.199988,NO,0,0,13.21,-13.21,0
2040,Outside option 36 EUR/MWh,36,1.199988,PT,0,0,17.32,-17.32,0
2040,Outside option 36 EUR/MWh,36,1.199988,ES,0,0,79.74,-79.74,0
2040,Outside option 36 EUR/MWh,36,1.199988,SE,0,0,20.65,-20.65,0
2040,Outside option 36 EUR/MWh,36,1.199988,GB,0,0,73.08,-73.08,0
2040,Outside option 36 EUR/MWh,36,1.199988,ITN,604.9,604.9,0,604.9,128.622298925831
2050,Outside option 36 EUR/MWh,36,1.199988,BE,0,0,63.31,-63.31,0
2050,Outside option 36 EUR/MWh,36,1.199988,DK,0,0,10.18,-10.18,0
2050,Outside option 36 EUR/MWh,36,1.199988,FR,0,0,116.28,-116.28,0
2050,Outside option 36 EUR/MWh,36,1.199988,DE,0,0,245.11,-245.11,0
2050,Outside option 36 EUR/MWh,36,1.199988,IE,0,0,5.33,-5.33,0
2050,Outside option 36 EUR/MWh,36,1.199988,NL,0,0,102.42,-102.42,0
2050,Outside option 36 EUR/MWh,36,1.199988,NO,0,0,16.91,-16.91,0
2050,Outside option 36 EUR/MWh,36,1.199988,PT,0,0,23.93,-23.93,0
2050,Outside option 36 EUR/MWh,36,1.199988,ES,0,0,107.58,-107.58,0
2050,Outside option 36 EUR/MWh,36,1.199988,SE,0,0,26.46,-26.46,0
2050,Outside option 36 EUR/MWh,36,1.199988,GB,0,0,100.88,-100.88,0
2050,Outside option 36 EUR/MWh,36,1.199988,ITN,818.39,818.39,0,818.39,174.327287109974
2030,Outside option 37 EUR/MWh,37,1.233321,BE,0,0,17.86,-17.86,0
2030,Outside option 37 EUR/MWh,37,1.233321,DK,0,0,2.58,-2.58,0
2030,Outside option 37 EUR/MWh,37,1.233321,FR,0,0,30.92,-30.92,0
2030,Outside option 37 EUR/MWh,37,1.233321,DE,0,0,60.97,-60.97,0
2030,Outside option 37 EUR/MWh,37,1.233321,IE,0,0,1.36,-1.36,0
2030,Outside option 37 EUR/MWh,37,1.233321,NL,0,0,25.03,-25.03,0
2030,Outside option 37 EUR/MWh,37,1.233321,NO,0,0,5.23,-5.23,0
2030,Outside option 37 EUR/MWh,37,1.233321,PT,0,0,6.11,-6.11,0
2030,Outside option 37 EUR/MWh,37,1.233321,ES,0,0,27.65,-27.65,0
2030,Outside option 37 EUR/MWh,37,1.233321,SE,0,0,7.86,-7.86,0
2030,Outside option 37 EUR/MWh,37,1.233321,GB,0,0,24.82,-24.82,0
2030,Outside option 37 EUR/MWh,37,1.233321,ITN,210.39,210.39,0,210.39,43.0138238363171
2040,Outside option 37 EUR/MWh,37,1.233321,BE,0,0,49.94,-49.94,0
2040,Outside option 37 EUR/MWh,37,1.233321,DK,0,0,7.35,-7.35,0
2040,Outside option 37 EUR/MWh,37,1.233321,FR,0,0,87.09,-87.09,0
2040,Outside option 37 EUR/MWh,37,1.233321,DE,0,0,182.55,-182.55,0
2040,Outside option 37 EUR/MWh,37,1.233321,IE,0,0,3.89,-3.89,0
2040,Outside option 37 EUR/MWh,37,1.233321,NL,0,0,70.08,-70.08,0
2040,Outside option 37 EUR/MWh,37,1.233321,NO,0,0,13.21,-13.21,0
2040,Outside option 37 EUR/MWh,37,1.233321,PT,0,0,17.32,-17.32,0
2040,Outside option 37 EUR/MWh,37,1.233321,ES,0,0,79.74,-79.74,0
2040,Outside option 37 EUR/MWh,37,1.233321,SE,0,0,20.65,-20.65,0
2040,Outside option 37 EUR/MWh,37,1.233321,GB,0,0,73.08,-73.08,0
2040,Outside option 37 EUR/MWh,37,1.233321,ITN,604.9,604.9,0,604.9,128.622298925831
2050,Outside option 37 EUR/MWh,37,1.233321,BE,0,0,63.3099999983953,-63.3099999983953,6.50080878017434e-10
2050,Outside option 37 EUR/MWh,37,1.233321,DK,0,0,10.1799999984167,-10.1799999984167,3.13499892712343e-10
2050,Outside option 37 EUR/MWh,37,1.233321,FR,0,0,116.28,-116.28,0
2050,Outside option 37 EUR/MWh,37,1.233321,DE,0,0,245.11,-245.11,0
2050,Outside option 37 EUR/MWh,37,1.233321,IE,0,0,5.33,-5.33,0
2050,Outside option 37 EUR/MWh,37,1.233321,NL,0,0,102.419999996795,-102.419999996795,9.66338120633736e-10
2050,Outside option 37 EUR/MWh,37,1.233321,NO,0,0,16.9099999999813,-16.9099999999813,3.70503627777907e-12
2050,Outside option 37 EUR/MWh,37,1.233321,PT,0,0,23.93,-23.93,0
2050,Outside option 37 EUR/MWh,37,1.233321,ES,0,0,107.58,-107.58,0
2050,Outside option 37 EUR/MWh,37,1.233321,SE,0,0,26.46,-26.46,0
2050,Outside option 37 EUR/MWh,37,1.233321,GB,0,0,100.879999996671,-100.879999996671,1.0039507003512e-09
2050,Outside option 37 EUR/MWh,37,1.233321,ITN,818.389999990259,818.389999990259,0,818.389999990259,174.327287107037
2030,Outside option 38 EUR/MWh,38,1.266654,BE,0,0,17.86,-17.86,0
2030,Outside option 38 EUR/MWh,38,1.266654,DK,0,0,2.58,-2.58,0
2030,Outside option 38 EUR/MWh,38,1.266654,FR,0,0,30.92,-30.92,0
2030,Outside option 38 EUR/MWh,38,1.266654,DE,0,0,60.97,-60.97,0
2030,Outside option 38 EUR/MWh,38,1.266654,IE,0,0,1.36,-1.36,0
2030,Outside option 38 EUR/MWh,38,1.266654,NL,0,0,25.03,-25.03,0
