Year,Scenario,TotalDemand_TWh,EuropeanOffshoreSupply_TWh,InternationalImport_TWh,TotalCarbonReduction_Mt,EuropeanOffshoreCarbonContribution_Mt,TopGrossExporter,TopGrossExport_TWh,TopNetExporter,TopNetExport_TWh,IrelandGrossExport_TWh,IrelandNetExport_TWh,UKGrossExport_TWh,UKNetExport_TWh
2030,Integrated model,210.39,213.451856434261,0,43.4694797167273,43.4694797167273,GB,81.0526546731212,GB,79.6326546731212,12.9813402174267,12.9813402174267,81.0526546731212,79.6326546731212
2030,LCOH-only baseline,210.39,210.39,0,43.4694797167273,43.4694797167273,DK,44.1319618592413,DK,44.1319618592413,13.3365105168432,13.3365105168432,0,-7.33462412764173
2040,Integrated model,604.9,494.894607535519,116.208076765895,129.773742036535,103.18949119052,GB,122.081616540512,GB,122.081616540512,83.1317538306939,83.1317538306939,122.081616540512,122.081616540512
2040,LCOH-only baseline,604.9,604.9,0,129.773742036535,129.773742036535,NL,146.8191941524,NL,146.8191941524,35.6146259868201,35.6146259868201,0,-19.0892993911791
2050,Integrated model,818.39,766.620127791916,62.227310356036,175.499942213218,158.301374404666,GB,162.141022175418,GB,162.141022175418,161.861398104616,161.861398104616,162.141022175418,162.141022175418
2050,LCOH-only baseline,818.39,818.39,0,175.499942213218,175.499942213218,DK,171.477629452605,DK,171.477629452605,40.7587303179568,40.7587303179568,0,-44.417992788145
