Year,Scenario,ImportCost_EURperMWh,ImportCost_EURperKgH2,SolverProblemCode,EuropeanOffshoreSupply_TWh,InternationalImport_TWh,TotalCarbonReduction_Mt,EuropeanOffshoreCarbonContribution_Mt,TotalCost_BnEUR,ImportCost_BnEUR,TopGrossExporter,TopGrossExport_TWh,TopNetExporter,TopNetExport_TWh,IrelandNetExport_TWh,UKNetExport_TWh,IrelandCarbonContribution_Mt,UKCarbonContribution_Mt
2050,Outside option 2.8 EUR/kg-H2,84.0008400084001,2.8,0,6.57269427670951,811.81730572329,174.327287109974,1.30139346678848,68.7541937733802,68.1933356141126,BE,0,DK,-3.60730572329049,-5.33,-100.88,0,0
2030,Outside option 2.9 EUR/kg-H2,87.0008700087001,2.9,0,14.505388553419,196.048585481474,43.0138238363171,2.83960007466824,18.2988025721147,17.0563975008632,DK,10.4014145185265,DK,10.4014145185265,0,-24.82,0.26928,0
2040,Outside option 2.9 EUR/kg-H2,87.0008700087001,2.9,0,17.035388553419,587.954541859569,128.622298925831,3.35520071180527,52.6112244373173,51.1525566673492,DK,5.70545814043064,DK,5.70545814043064,0,-73.08,0.77022,0
2050,Outside option 2.9 EUR/kg-H2,87.0008700087001,2.9,0,18.475388553419,799.960627104517,174.327287109974,3.64901583330565,71.1789502762153,69.5972705307983,DK,2.91937289548308,DK,2.91937289548308,0,-100.88,1.05534,0
2030,Outside option 3 EUR/kg-H2,90.0009000090001,3,0,77.995782393342,132.900305193745,43.0138238363171,15.3429595716385,18.8086195305078,11.9611470789078,DK,27.0196948062551,DK,27.0196948062551,5.14409542413915,-6.56409542413915,1.28781089397955,3.61466910602045
2040,Outside option 3 EUR/kg-H2,90.0009000090001,3,0,82.9781898028145,522.225419075932,128.622298925831,16.3695670229655,54.3026947642837,47.0007577244111,DK,16.6441381032166,DK,16.6441381032166,2.65284322124903,-47.2332118128095,1.29548295780731,5.11766406106372
2050,Outside option 3 EUR/kg-H2,90.0009000090001,3,0,98.1578695909964,720.705345183563,174.327287109974,19.3415616536546,73.5021260769693,64.8641297078177,DK,28.8021579134362,DK,28.8021579134362,1.23489730339853,-75.0332118128095,1.29984966607291,5.11766406106372
2030,Outside option 3.1 EUR/kg-H2,93.0009300093001,3.1,0,130.412780877509,81.3055554857151,43.1924708575778,25.7373670350891,19.1671039965631,7.56149227509426,NL,29.4516228248242,NL,27.5516228248242,11.8082086622734,9.81717590406702,2.60730531513013,6.85816082900527
2040,Outside option 3.1 EUR/kg-H2,93.0009300093001,3.1,0,153.950942369267,451.535861896783,128.622298925831,30.3660993444369,55.7377517518667,41.9932550889517,IE,20.8606172133802,IE,20.8606172133802,20.8606172133802,-28.4106172133802,4.90062220824929,8.84453779175071
2050,Outside option 3.1 EUR/kg-H2,93.0009300093001,3.1,0,296.470916092936,524.007889511095,174.327287109974,58.2876578768031,75.3340304048562,48.7332210567424,DK,118.468733471234,DK,118.468733471234,14.1813698058161,-44.417992788145,3.86325122155158,11.1794774279473
2030,Outside option 3.2 EUR/kg-H2,96.0009600096001,3.2,0,166.825108598432,45.4966514652196,43.3119487502624,32.9470079238318,19.3485529584242,4.36772221788326,NL,41.30881609095,NL,39.40881609095,14.5385118092821,31.642007211855,3.14790533823786,11.1794774279473
2040,Outside option 3.2 EUR/kg-H2,96.0009600096001,3.2,0,298.647842149588,309.049017789253,129.124132335488,59.0803278873844,56.8684524684954,29.6690023977922,NL,94.7984978367272,NL,84.6684978367272,42.1987303179568,0.474128122828663,9.12556860295544,14.5637173683201
2050,Outside option 3.2 EUR/kg-H2,96.0009600096001,3.2,0,395.078461867655,426.61345460876,174.611156029333,77.8556249068241,76.7369055099751,40.9553011954529,DK,118.468733471234,DK,118.468733471234,34.1338806886684,-9.44,7.81384837635635,18.10512
2030,Outside option 3.3 EUR/kg-H2,99.0009900099001,3.3,0,206.772530880226,6.55,43.4220171450167,40.7685133086995,19.4136345853337,0.648456484564846,GB,73.0094294936499,GB,71.5894294936499,14.0936419763142,71.5894294936499,3.05982111131022,19.0890670397427
2040,Outside option 3.3 EUR/kg-H2,99.0009900099001,3.3,0,446.591747891817,163.971962825933,129.691768789712,88.3732212243458,57.5128934734238,16.2333866536339,GB,129.631616540512,GB,122.081616540512,68.5351476425035,122.081616540512,14.3401792332157,38.6420000750213
2050,Outside option 3.3 EUR/kg-H2,99.0009900099001,3.3,0,599.620750996909,225.902328872877,175.36972638122,118.354998154416,77.6666108568695,22.3645542039569,GB,171.581022175418,GB,162.141022175418,67.0951476425035,162.141022175418,14.3401792332157,52.0781623907328
2030,Outside option 3.4 EUR/kg-H2,102.0010200102,3.4,0,212.203722499872,1.18,43.4515729317019,42.9735371260753,19.4241271354581,0.120361203612036,GB,77.0206211132953,GB,77.0206211132953,14.1257597932048,77.0206211132953,3.30075846934337,20.6596348290085
2040,Outside option 3.4 EUR/kg-H2,102.0010200102,3.4,0,461.259752856372,149.68933338482,129.76719537586,91.2766084398341,57.9767094657833,15.2684646898986,GB,129.631616540512,GB,122.081616540512,83.1987194378986,122.081616540512,17.2435664487039,38.6420000750213
2050,Outside option 3.4 EUR/kg-H2,102.0010200102,3.4,0,632.541272652592,193.845995640456,175.540835689026,124.873261442242,78.300026734137,19.7724892802194,GB,171.581022175418,GB,162.141022175418,100.015669298187,162.141022175418,20.858442521041,52.0781623907328
