Year,Scenario,DomesticAbsorptionFactor,ExportPotential_TWh,SolverProblemCode,EuropeanOffshoreSupply_TWh,InternationalImport_TWh,TotalCarbonReduction_Mt,EuropeanOffshoreCarbonContribution_Mt,TopGrossExporter,TopGrossExport_TWh,TopNetExporter,TopNetExport_TWh,IrelandNetExport_TWh,UKNetExport_TWh,IrelandCarbonContribution_Mt,UKCarbonContribution_Mt
2030,Low absorption,0.75,327.543650136874,0,213.439705844368,0,43.4252066251177,43.4252066251177,GB,77.8206476878185,GB,76.6235944400151,13.2326975033484,76.6235944400151,3.26322382495629,20.1320073356611
2040,Low absorption,0.75,609.980570154847,0,609.980570154847,3.62702526824736,129.778748228534,128.435109655089,GB,178.051018653929,GB,178.051018653929,86.2249532606688,178.051018653929,17.8427607456124,53.6011608813275
2050,Low absorption,0.75,1003.38627624907,0,830.10968732413,0,175.638849627062,175.638849627062,GB,233.279583595992,GB,233.279583595992,142.125482512551,233.279583595992,29.196185537485,72.9215246372186
2030,Base absorption,1,286.668532568998,0,213.451856434261,0,43.4694797167273,43.4694797167273,GB,81.0526546731212,GB,79.6326546731212,12.9813402174267,79.6326546731212,3.1613951955701,20.681625625278
2040,Base absorption,1,494.894607535519,0,494.894607535519,116.208076765895,129.773742036535,103.18949119052,GB,122.081616540512,GB,122.081616540512,83.1317538306939,122.081616540512,18.9066952299806,41.5719811319544
2050,Base absorption,1,766.620127791916,0,766.620127791916,62.227310356036,175.499942213218,158.301374404666,GB,162.141022175418,GB,162.141022175418,161.861398104616,162.141022175418,33.103896824714,56.9267916715193
2030,High absorption,1.25,248.463971536724,0,213.52451015917,0,43.5080616306683,43.5080616306683,GB,97.6200091790561,GB,97.6200091790561,11.6793671536252,97.6200091790561,2.70006339295904,24.5372252445631
2040,High absorption,1.25,379.808644916192,0,379.808644916192,229.237017837861,129.401869523332,77.5450427336923,IE,77.5731005158556,IE,77.5731005158556,77.5731005158556,66.11221442709,16.6548008947625,29.123777382395
2050,High absorption,1.25,570.791793800802,0,570.791793800802,254.295106986619,175.079137922515,117.725267975841,IE,154.773812519498,IE,154.773812519498,154.773812519498,63.4392654403614,32.4052239286682,35.1982212104323
